fips,cbsa_sub,area_name,nmdda_2023
66010,NCNTY66010N66010,Guam,1
4012,NCNTY04012N04012,"La Paz County, AZ",1
25007,NCNTY25007N25007,"Dukes County, MA",1
15007,NCNTY15007N15007,"Kauai County, HI",1
8113,NCNTY08113N08113,"San Miguel County, CO",1
8091,NCNTY08091N08091,"Ouray County, CO",1
25019,NCNTY25019N25019,"Nantucket County, MA",1
8037,NCNTY08037N08037,"Eagle County, CO",1
69999,NCNTY69999N69999,Northern Mariana Islands,1
78030,NCNTY78030N78030,"St. Thomas Island, VI",1
8117,NCNTY08117N08117,"Summit County, CO",1
12087,NCNTY12087N12087,"Monroe County, FL",1
4007,NCNTY04007N04007,"Gila County, AZ",1
2185,NCNTY02185N02185,"North Slope Borough, AK",1
72923,NCNTY72923N72923,Puerto Rico HUD Nonmetro Area,1
78020,NCNTY78020N78020,"St. John Island, VI",1
60999,NCNTY60999N60999,American Samoa,1
2050,NCNTY02050N02050,"Bethel Census Area, AK",1
8097,NCNTY08097N08097,"Pitkin County, CO",1
41065,NCNTY41065N41065,"Wasco County, OR",1
4017,NCNTY04017N04017,"Navajo County, AZ",1
12045,NCNTY12045N12045,"Gulf County, FL",1
2188,NCNTY02188N02188,"Northwest Arctic Borough, AK",1
6051,NCNTY06051N06051,"Mono County, CA",1
78010,NCNTY78010N78010,"St. Croix Island, VI",1
2180,NCNTY02180N02180,"Nome Census Area, AK",1
15001,NCNTY15001N15001,"Hawaii County, HI",1
41019,NCNTY41019N41019,"Douglas County, OR",1
8107,NCNTY08107N08107,"Routt County, CO",1
2016,NCNTY02016N02016,"Aleutians West Census Area, AK",1
6045,NCNTY06045N06045,"Mendocino County, CA",1
53055,NCNTY53055N53055,"San Juan County, WA",1
4001,NCNTY04001N04001,"Apache County, AZ",1
41041,NCNTY41041N41041,"Lincoln County, OR",1
41015,NCNTY41015N41015,"Curry County, OR",1
4023,NCNTY04023N04023,"Santa Cruz County, AZ",1
22021,NCNTY22021N22021,"Caldwell Parish, LA",1
41027,NCNTY41027N41027,"Hood River County, OR",1
15005,NCNTY15005N15005,"Kalawao County, HI",1
8045,NCNTY08045N08045,"Garfield County, CO",1
22069,NCNTY22069N22069,"Natchitoches Parish, LA",1
22101,NCNTY22101N22101,"St. Mary Parish, LA",1
8049,NCNTY08049N08049,"Grand County, CO",1
4009,NCNTY04009N04009,"Graham County, AZ",1
2150,NCNTY02150N02150,"Kodiak Island Borough, AK",1
23027,NCNTY23027N23027,"Waldo County, ME",1
8007,NCNTY08007N08007,"Archuleta County, CO",1
8067,NCNTY08067N08067,"La Plata County, CO",1
12093,NCNTY12093N12093,"Okeechobee County, FL",1
48273,NCNTY48273N48273,"Kleberg County, TX",1
48007,NCNTY48007N48007,"Aransas County, TX",1
41057,NCNTY41057N41057,"Tillamook County, OR",1
53009,NCNTY53009N53009,"Clallam County, WA",1
6023,NCNTY06023N06023,"Humboldt County, CA",1
41021,NCNTY41021N41021,"Gilliam County, OR",1
48025,NCNTY48025N48025,"Bee County, TX",1
2230,NCNTY02230N02230,"Skagway Municipality, AK",1
48227,NCNTY48227N48227,"Howard County, TX",1
37175,NCNTY37175N37175,"Transylvania County, NC",1
16013,NCNTY16013N16013,"Blaine County, ID",1
22115,NCNTY22115N22115,"Vernon Parish, LA",1
41013,NCNTY41013N41013,"Crook County, OR",1
1017,NCNTY01017N01017,"Chambers County, AL",1
48299,NCNTY48299N48299,"Llano County, TX",1
48287,NCNTY48287N48287,"Lee County, TX",1
8079,NCNTY08079N08079,"Mineral County, CO",1
8111,NCNTY08111N08111,"San Juan County, CO",1
1119,NCNTY01119N01119,"Sumter County, AL",1
48095,NCNTY48095N48095,"Concho County, TX",1
32005,NCNTY32005N32005,"Douglas County, NV",1
35055,NCNTY35055N35055,"Taos County, NM",1
1109,NCNTY01109N01109,"Pike County, AL",1
35009,NCNTY35009N35009,"Curry County, NM",1
13275,NCNTY13275N13275,"Thomas County, GA",1
6043,NCNTY06043N06043,"Mariposa County, CA",1
48471,NCNTY48471N48471,"Walker County, TX",1
53029,NCNTY53029N53029,"Island County, WA",1
6109,NCNTY06109N06109,"Tuolumne County, CA",1
28075,NCNTY28075N28075,"Lauderdale County, MS",1
53045,NCNTY53045N53045,"Mason County, WA",1
41031,NCNTY41031N41031,"Jefferson County, OR",1
8051,NCNTY08051N08051,"Gunnison County, CO",1
12043,NCNTY12043N12043,"Glades County, FL",1
41007,NCNTY41007N41007,"Clatsop County, OR",1
35025,NCNTY35025N35025,"Lea County, NM",1
45047,NCNTY45047N45047,"Greenwood County, SC",1
48371,NCNTY48371N48371,"Pecos County, TX",1
45071,NCNTY45071N45071,"Newberry County, SC",1
16009,NCNTY16009N16009,"Benewah County, ID",1
2070,NCNTY02070N02070,"Dillingham Census Area, AK",1
48337,NCNTY48337N48337,"Montague County, TX",1
48249,NCNTY48249N48249,"Jim Wells County, TX",1
41049,NCNTY41049N41049,"Morrow County, OR",1
2130,NCNTY02130N02130,"Ketchikan Gateway Borough, AK",1
37055,NCNTY37055N37055,"Dare County, NC",1
16071,NCNTY16071N16071,"Oneida County, ID",1
35005,NCNTY35005N35005,"Chaves County, NM",1
12023,NCNTY12023N12023,"Columbia County, FL",1
47155,NCNTY47155N47155,"Sevier County, TN",1
6057,NCNTY06057N06057,"Nevada County, CA",1
53037,NCNTY53037N53037,"Kittitas County, WA",1
6005,NCNTY06005N06005,"Amador County, CA",1
47003,NCNTY47003N47003,"Bedford County, TN",1
8029,NCNTY08029N08029,"Delta County, CO",1
51049,NCNTY51049N51049,"Cumberland County, VA",1
23015,NCNTY23015N23015,"Lincoln County, ME",1
37143,NCNTY37143N37143,"Perquimans County, NC",1
16039,NCNTY16039N16039,"Elmore County, ID",1
48195,NCNTY48195N48195,"Hansford County, TX",1
53031,NCNTY53031N53031,"Jefferson County, WA",1
28019,NCNTY28019N28019,"Choctaw County, MS",1
6033,NCNTY06033N06033,"Lake County, CA",1
37041,NCNTY37041N37041,"Chowan County, NC",1
48117,NCNTY48117N48117,"Deaf Smith County, TX",1
48341,NCNTY48341N48341,"Moore County, TX",1
41011,NCNTY41011N41011,"Coos County, OR",1
48307,NCNTY48307N48307,"McCulloch County, TX",1
40119,NCNTY40119N40119,"Payne County, OK",1
8015,NCNTY08015N08015,"Chaffee County, CO",1
37011,NCNTY37011N37011,"Avery County, NC",1
22097,NCNTY22097N22097,"St. Landry Parish, LA",1
48321,NCNTY48321N48321,"Matagorda County, TX",1
36039,NCNTY36039N36039,"Greene County, NY",1
6027,NCNTY06027N06027,"Inyo County, CA",1
53039,NCNTY53039N53039,"Klickitat County, WA",1
2195,NCNTY02195N02195,Petersburg Borough,1
2240,NCNTY02240N02240,"Southeast Fairbanks Census Area, AK",1
8083,NCNTY08083N08083,"Montezuma County, CO",1
2282,NCNTY02282N02282,"Yakutat City and Borough, AK",1
28109,NCNTY28109N28109,"Pearl River County, MS",1
53041,NCNTY53041N53041,"Lewis County, WA",1
41061,NCNTY41061N41061,"Union County, OR",1
48005,NCNTY48005N48005,"Angelina County, TX",1
16049,NCNTY16049N16049,"Idaho County, ID",1
12049,NCNTY12049N12049,"Hardee County, FL",1
28071,NCNTY28071N28071,"Lafayette County, MS",1
51057,NCNTY51057N51057,"Essex County, VA",1
36105,NCNTY36105N36105,"Sullivan County, NY",1
22117,NCNTY22117N22117,"Washington Parish, LA",1
22119,NCNTY22119N22119,"Webster Parish, LA",1
22039,NCNTY22039N22039,"Evangeline Parish, LA",1
22083,NCNTY22083N22083,"Richland Parish, LA",1
22041,NCNTY22041N22041,"Franklin Parish, LA",1
22029,NCNTY22029N22029,"Concordia Parish, LA",1
22027,NCNTY22027N22027,"Claiborne Parish, LA",1
22127,NCNTY22127N22127,"Winn Parish, LA",1
22013,NCNTY22013N22013,"Bienville Parish, LA",1
22065,NCNTY22065N22065,"Madison Parish, LA",1
22035,NCNTY22035N22035,"East Carroll Parish, LA",1
22107,NCNTY22107N22107,"Tensas Parish, LA",1
22085,NCNTY22085N22085,"Sabine Parish, LA",1
28067,NCNTY28067N28067,"Jones County, MS",1
12067,NCNTY12067N12067,"Lafayette County, FL",1
48205,NCNTY48205N48205,"Hartley County, TX",1
13187,NCNTY13187N13187,"Lumpkin County, GA",1
48075,NCNTY48075N48075,"Childress County, TX",1
48271,NCNTY48271N48271,"Kinney County, TX",1
22061,NCNTY22061N22061,"Lincoln Parish, LA",1
21035,NCNTY21035N21035,"Calloway County, KY",1
51159,NCNTY51159N51159,"Richmond County, VA",1
23013,NCNTY23013N23013,"Knox County, ME",1
48455,NCNTY48455N48455,"Trinity County, TX",1
48385,NCNTY48385N48385,"Real County, TX",1
35041,NCNTY35041N35041,"Roosevelt County, NM",1
1011,NCNTY01011N01011,"Bullock County, AL",1
50025,NCNTY50025N50025,"Windham County, VT",1
28055,NCNTY28055N28055,"Issaquena County, MS",1
41035,NCNTY41035N41035,"Klamath County, OR",1
12107,NCNTY12107N12107,"Putnam County, FL",1
2013,NCNTY02013N02013,"Aleutians East Borough, AK",1
28077,NCNTY28077N28077,"Lawrence County, MS",1
45029,NCNTY45029N45029,"Colleton County, SC",1
28101,NCNTY28101N28101,"Newton County, MS",1
28113,NCNTY28113N28113,"Pike County, MS",1
13285,NCNTY13285N13285,"Troup County, GA",1
53051,NCNTY53051N53051,"Pend Oreille County, WA",1
48241,NCNTY48241N48241,"Jasper County, TX",1
8087,NCNTY08087N08087,"Morgan County, CO",1
48163,NCNTY48163N48163,"Frio County, TX",1
48043,NCNTY48043N48043,"Brewster County, TX",1
16035,NCNTY16035N16035,"Clearwater County, ID",1
6015,NCNTY06015N06015,"Del Norte County, CA",1
45021,NCNTY45021N45021,"Cherokee County, SC",1
48499,NCNTY48499N48499,"Wood County, TX",1
13039,NCNTY13039N13039,"Camden County, GA",1
51147,NCNTY51147N51147,"Prince Edward County, VA",1
37043,NCNTY37043N37043,"Clay County, NC",1
13253,NCNTY13253N13253,"Seminole County, GA",1
37091,NCNTY37091N37091,"Hertford County, NC",1
22009,NCNTY22009N22009,"Avoyelles Parish, LA",1
48049,NCNTY48049N48049,"Brown County, TX",1
48475,NCNTY48475N48475,"Ward County, TX",1
50023,NCNTY50023N50023,"Washington County, VT",1
16065,NCNTY16065N16065,"Madison County, ID",1
16025,NCNTY16025N16025,"Camas County, ID",1
16033,NCNTY16033N16033,"Clark County, ID",1
48349,NCNTY48349N48349,"Navarro County, TX",1
12007,NCNTY12007N12007,"Bradford County, FL",1
48179,NCNTY48179N48179,"Gray County, TX",1
48313,NCNTY48313N48313,"Madison County, TX",1
12063,NCNTY12063N12063,"Jackson County, FL",1
12121,NCNTY12121N12121,"Suwannee County, FL",1
12051,NCNTY12051N12051,"Hendry County, FL",1
12027,NCNTY12027N12027,"DeSoto County, FL",1
12133,NCNTY12133N12133,"Washington County, FL",1
12123,NCNTY12123N12123,"Taylor County, FL",1
12059,NCNTY12059N12059,"Holmes County, FL",1
12079,NCNTY12079N12079,"Madison County, FL",1
12029,NCNTY12029N12029,"Dixie County, FL",1
12125,NCNTY12125N12125,"Union County, FL",1
12047,NCNTY12047N12047,"Hamilton County, FL",1
12077,NCNTY12077N12077,"Liberty County, FL",1
22123,NCNTY22123N22123,"West Carroll Parish, LA",1
28081,NCNTY28081N28081,"Lee County, MS",1
8085,NCNTY08085N08085,"Montrose County, CO",1
23017,NCNTY23017N23017,"Oxford County, ME",1
37083,NCNTY37083N37083,"Halifax County, NC",1
54109,NCNTY54109N54109,"Wyoming County, WV",1
2068,NCNTY02068N02068,"Denali Borough, AK",1
16059,NCNTY16059N16059,"Lemhi County, ID",1
13031,NCNTY13031N13031,"Bulloch County, GA",1
46033,NCNTY46033N46033,"Custer County, SD",1
16063,NCNTY16063N16063,"Lincoln County, ID",1
37113,NCNTY37113N37113,"Macon County, NC",1
8043,NCNTY08043N08043,"Fremont County, CO",1
32021,NCNTY32021N32021,"Mineral County, NV",1
53013,NCNTY53013N53013,"Columbia County, WA",1
54103,NCNTY54103N54103,"Wetzel County, WV",1
1131,NCNTY01131N01131,"Wilcox County, AL",1
29213,NCNTY29213N29213,"Taney County, MO",1
50015,NCNTY50015N50015,"Lamoille County, VT",1
28091,NCNTY28091N28091,"Marion County, MS",1
54097,NCNTY54097N54097,"Upshur County, WV",1
6091,NCNTY06091N06091,"Sierra County, CA",1
8081,NCNTY08081N08081,"Moffat County, CO",1
48031,NCNTY48031N48031,"Blanco County, TX",1
28107,NCNTY28107N28107,"Panola County, MS",1
48265,NCNTY48265N48265,"Kerr County, TX",1
54041,NCNTY54041N54041,"Lewis County, WV",1
35033,NCNTY35033N35033,"Mora County, NM",1
48171,NCNTY48171N48171,"Gillespie County, TX",1
48363,NCNTY48363N48363,"Palo Pinto County, TX",1
37105,NCNTY37105N37105,"Lee County, NC",1
22081,NCNTY22081N22081,"Red River Parish, LA",1
26137,NCNTY26137N26137,"Otsego County, MI",1
37149,NCNTY37149N37149,"Polk County, NC",1
8125,NCNTY08125N08125,"Yuma County, CO",1
33009,NCNTY33009N33009,"Grafton County, NH",1
2105,NCNTY02105N02105,"Hoonah-Angoon Census Area, AK",1
28133,NCNTY28133N28133,"Sunflower County, MS",1
48221,NCNTY48221N48221,"Hood County, TX",1
54025,NCNTY54025N54025,"Greenbrier County, WV",1
48365,NCNTY48365N48365,"Panola County, TX",1
22059,NCNTY22059N22059,"La Salle Parish, LA",1
12037,NCNTY12037N12037,"Franklin County, FL",1
48233,NCNTY48233N48233,"Hutchinson County, TX",1
16047,NCNTY16047N16047,"Gooding County, ID",1
53075,NCNTY53075N53075,"Whitman County, WA",1
29153,NCNTY29153N29153,"Ozark County, MO",1
37177,NCNTY37177N37177,"Tyrrell County, NC",1
51033,NCNTY51033N51033,"Caroline County, VA",1
12013,NCNTY12013N12013,"Calhoun County, FL",1
48213,NCNTY48213N48213,"Henderson County, TX",1
41055,NCNTY41055N41055,"Sherman County, OR",1
16087,NCNTY16087N16087,"Washington County, ID",1
48001,NCNTY48001N48001,"Anderson County, TX",1
40009,NCNTY40009N40009,"Beckham County, OK",1
48425,NCNTY48425N48425,"Somervell County, TX",1
6103,NCNTY06103N06103,"Tehama County, CA",1
16075,NCNTY16075N16075,"Payette County, ID",1
45009,NCNTY45009N45009,"Bamberg County, SC",1
32033,NCNTY32033N32033,"White Pine County, NV",1
48405,NCNTY48405N48405,"San Augustine County, TX",1
13261,NCNTY13261N13261,"Sumter County, GA",1
16037,NCNTY16037N16037,"Custer County, ID",1
50017,NCNTY50017N50017,"Orange County, VT",1
22049,NCNTY22049N22049,"Jackson Parish, LA",1
48357,NCNTY48357N48357,"Ochiltree County, TX",1
6009,NCNTY06009N06009,"Calaveras County, CA",1
8063,NCNTY08063N08063,"Kit Carson County, CO",1
32019,NCNTY32019N32019,"Lyon County, NV",1
28043,NCNTY28043N28043,"Grenada County, MS",1
13147,NCNTY13147N13147,"Hart County, GA",1
48347,NCNTY48347N48347,"Nacogdoches County, TX",1
37139,NCNTY37139N37139,"Pasquotank County, NC",1
33019,NCNTY33019N33019,"Sullivan County, NH",1
48211,NCNTY48211N48211,"Hemphill County, TX",1
6021,NCNTY06021N06021,"Glenn County, CA",1
6011,NCNTY06011N06011,"Colusa County, CA",1
13241,NCNTY13241N13241,"Rabun County, GA",1
45075,NCNTY45075N45075,"Orangeburg County, SC",1
45025,NCNTY45025N45025,"Chesterfield County, SC",1
45089,NCNTY45089N45089,"Williamsburg County, SC",1
45067,NCNTY45067N45067,"Marion County, SC",1
45033,NCNTY45033N45033,"Dillon County, SC",1
45087,NCNTY45087N45087,"Union County, SC",1
45069,NCNTY45069N45069,"Marlboro County, SC",1
45001,NCNTY45001N45001,"Abbeville County, SC",1
45011,NCNTY45011N45011,"Barnwell County, SC",1
45049,NCNTY45049N45049,"Hampton County, SC",1
45061,NCNTY45061N45061,"Lee County, SC",1
28021,NCNTY28021N28021,"Claiborne County, MS",1
45005,NCNTY45005N45005,"Allendale County, SC",1
48389,NCNTY48389N48389,"Reeves County, TX",1
28149,NCNTY28149N28149,"Warren County, MS",1
28005,NCNTY28005N28005,"Amite County, MS",1
54101,NCNTY54101N54101,"Webster County, WV",1
51119,NCNTY51119N51119,"Middlesex County, VA",1
48411,NCNTY48411N48411,"San Saba County, TX",1
48153,NCNTY48153N48153,"Floyd County, TX",1
13311,NCNTY13311N13311,"White County, GA",1
45043,NCNTY45043N45043,"Georgetown County, SC",1
48417,NCNTY48417N48417,"Shackelford County, TX",1
48109,NCNTY48109N48109,"Culberson County, TX",1
48155,NCNTY48155N48155,"Foard County, TX",1
48443,NCNTY48443N48443,"Terrell County, TX",1
48261,NCNTY48261N48261,"Kenedy County, TX",1
13281,NCNTY13281N13281,"Towns County, GA",1
28085,NCNTY28085N28085,"Lincoln County, MS",1
16017,NCNTY16017N16017,"Bonner County, ID",1
8027,NCNTY08027N08027,"Custer County, CO",1
48293,NCNTY48293N48293,"Limestone County, TX",1
13011,NCNTY13011N13011,"Banks County, GA",1
8073,NCNTY08073N08073,"Lincoln County, CO",1
53049,NCNTY53049N53049,"Pacific County, WA",1
5013,NCNTY05013N05013,"Calhoun County, AR",1
5099,NCNTY05099N05099,"Nevada County, AR",1
2220,NCNTY02220N02220,"Sitka City and Borough, AK",1
41045,NCNTY41045N41045,"Malheur County, OR",1
32023,NCNTY32023N32023,"Nye County, NV",1
28151,NCNTY28151N28151,"Washington County, MS",1
28011,NCNTY28011N28011,"Bolivar County, MS",1
28001,NCNTY28001N28001,"Adams County, MS",1
28099,NCNTY28099N28099,"Neshoba County, MS",1
28083,NCNTY28083N28083,"Leflore County, MS",1
28123,NCNTY28123N28123,"Scott County, MS",1
28117,NCNTY28117N28117,"Prentiss County, MS",1
28139,NCNTY28139N28139,"Tippah County, MS",1
28027,NCNTY28027N28027,"Coahoma County, MS",1
28079,NCNTY28079N28079,"Leake County, MS",1
28141,NCNTY28141N28141,"Tishomingo County, MS",1
28025,NCNTY28025N28025,"Clay County, MS",1
28007,NCNTY28007N28007,"Attala County, MS",1
28159,NCNTY28159N28159,"Winston County, MS",1
28017,NCNTY28017N28017,"Chickasaw County, MS",1
28061,NCNTY28061N28061,"Jasper County, MS",1
28147,NCNTY28147N28147,"Walthall County, MS",1
28013,NCNTY28013N28013,"Calhoun County, MS",1
28135,NCNTY28135N28135,"Tallahatchie County, MS",1
28161,NCNTY28161N28161,"Yalobusha County, MS",1
28065,NCNTY28065N28065,"Jefferson Davis County, MS",1
28103,NCNTY28103N28103,"Noxubee County, MS",1
28097,NCNTY28097N28097,"Montgomery County, MS",1
28069,NCNTY28069N28069,"Kemper County, MS",1
28157,NCNTY28157N28157,"Wilkinson County, MS",1
28053,NCNTY28053N28053,"Humphreys County, MS",1
28037,NCNTY28037N28037,"Franklin County, MS",1
28009,NCNTY28009N28009,"Benton County, MS",1
28063,NCNTY28063N28063,"Jefferson County, MS",1
28119,NCNTY28119N28119,"Quitman County, MS",1
28125,NCNTY28125N28125,"Sharkey County, MS",1
48465,NCNTY48465N48465,"Val Verde County, TX",1
1047,NCNTY01047N01047,"Dallas County, AL",0
21213,NCNTY21213N21213,"Simpson County, KY",0
16079,NCNTY16079N16079,"Shoshone County, ID",0
48159,NCNTY48159N48159,"Franklin County, TX",0
8071,NCNTY08071N08071,"Las Animas County, CO",0
4011,NCNTY04011N04011,"Greenlee County, AZ",0
16003,NCNTY16003N16003,"Adams County, ID",0
48137,NCNTY48137N48137,"Edwards County, TX",0
23009,NCNTY23009N23009,"Hancock County, ME",0
48083,NCNTY48083N48083,"Coleman County, TX",0
48319,NCNTY48319N48319,"Mason County, TX",0
47117,NCNTY47117N47117,"Marshall County, TN",0
50001,NCNTY50001N50001,"Addison County, VT",0
28057,NCNTY28057N28057,"Itawamba County, MS",0
2110,NCNTY02110N02110,"Juneau City and Borough, AK",0
29201,NCNTY29201N29201,"Scott County, MO",0
48223,NCNTY48223N48223,"Hopkins County, TX",0
41001,NCNTY41001N41001,"Baker County, OR",0
40035,NCNTY40035N40035,"Craig County, OK",0
8055,NCNTY08055N08055,"Huerfano County, CO",0
28003,NCNTY28003N28003,"Alcorn County, MS",0
35031,NCNTY35031N35031,"McKinley County, NM",0
35035,NCNTY35035N35035,"Otero County, NM",0
35039,NCNTY35039N35039,"Rio Arriba County, NM",0
24011,NCNTY24011N24011,"Caroline County, MD",0
35047,NCNTY35047N35047,"San Miguel County, NM",0
35006,NCNTY35006N35006,"Cibola County, NM",0
35029,NCNTY35029N35029,"Luna County, NM",0
35053,NCNTY35053N35053,"Socorro County, NM",0
35007,NCNTY35007N35007,"Colfax County, NM",0
35051,NCNTY35051N35051,"Sierra County, NM",0
35037,NCNTY35037N35037,"Quay County, NM",0
35019,NCNTY35019N35019,"Guadalupe County, NM",0
35023,NCNTY35023N35023,"Hidalgo County, NM",0
35003,NCNTY35003N35003,"Catron County, NM",0
35021,NCNTY35021N35021,"Harding County, NM",0
1121,NCNTY01121N01121,"Talladega County, AL",0
41059,NCNTY41059N41059,"Umatilla County, OR",0
54055,NCNTY54055N54055,"Mercer County, WV",0
54045,NCNTY54045N54045,"Logan County, WV",0
54067,NCNTY54067N54067,"Nicholas County, WV",0
54059,NCNTY54059N54059,"Mingo County, WV",0
54047,NCNTY54047N54047,"McDowell County, WV",0
54001,NCNTY54001N54001,"Barbour County, WV",0
54087,NCNTY54087N54087,"Roane County, WV",0
54007,NCNTY54007N54007,"Braxton County, WV",0
54063,NCNTY54063N54063,"Monroe County, WV",0
54089,NCNTY54089N54089,"Summers County, WV",0
54085,NCNTY54085N54085,"Ritchie County, WV",0
54013,NCNTY54013N54013,"Calhoun County, WV",0
54071,NCNTY54071N54071,"Pendleton County, WV",0
19139,NCNTY19139N19139,"Muscatine County, IA",0
40013,NCNTY40013N40013,"Bryan County, OK",0
1037,NCNTY01037N01037,"Coosa County, AL",0
50003,NCNTY50003N50003,"Bennington County, VT",0
33005,NCNTY33005N33005,"Cheshire County, NH",0
23025,NCNTY23025N23025,"Somerset County, ME",0
21021,NCNTY21021N21021,"Boyle County, KY",0
28115,NCNTY28115N28115,"Pontotoc County, MS",0
13237,NCNTY13237N13237,"Putnam County, GA",0
33001,NCNTY33001N33001,"Belknap County, NH",0
50027,NCNTY50027N50027,"Windsor County, VT",0
48185,NCNTY48185N48185,"Grimes County, TX",0
41023,NCNTY41023N41023,"Grant County, OR",0
8075,NCNTY08075N08075,"Logan County, CO",0
8095,NCNTY08095N08095,"Phillips County, CO",0
6093,NCNTY06093N06093,"Siskiyou County, CA",0
26101,NCNTY26101N26101,"Manistee County, MI",0
54049,NCNTY54049N54049,"Marion County, WV",0
13299,NCNTY13299N13299,"Ware County, GA",0
54053,NCNTY54053N54053,"Mason County, WV",0
6003,NCNTY06003N06003,"Alpine County, CA",0
33013,NCNTY33013N33013,"Merrimack County, NH",0
48467,NCNTY48467N48467,"Van Zandt County, TX",0
54031,NCNTY54031N54031,"Hardy County, WV",0
13317,NCNTY13317N13317,"Wilkes County, GA",0
8103,NCNTY08103N08103,"Rio Blanco County, CO",0
54095,NCNTY54095N54095,"Tyler County, WV",0
40121,NCNTY40121N40121,"Pittsburg County, OK",0
29159,NCNTY29159N29159,"Pettis County, MO",0
48143,NCNTY48143N48143,"Erath County, TX",0
35017,NCNTY35017N35017,"Grant County, NM",0
1087,NCNTY01087N01087,"Macon County, AL",0
5005,NCNTY05005N05005,"Baxter County, AR",0
8003,NCNTY08003N08003,"Alamosa County, CO",0
13131,NCNTY13131N13131,"Grady County, GA",0
47083,NCNTY47083N47083,"Houston County, TN",0
40139,NCNTY40139N40139,"Texas County, OK",0
21197,NCNTY21197N21197,"Powell County, KY",0
48277,NCNTY48277N48277,"Lamar County, TX",0
29131,NCNTY29131N29131,"Miller County, MO",0
35027,NCNTY35027N35027,"Lincoln County, NM",0
35059,NCNTY35059N35059,"Union County, NM",0
23029,NCNTY23029N23029,"Washington County, ME",0
48481,NCNTY48481N48481,"Wharton County, TX",0
48089,NCNTY48089N48089,"Colorado County, TX",0
28145,NCNTY28145N28145,"Union County, MS",0
37039,NCNTY37039N37039,"Cherokee County, NC",0
28153,NCNTY28153N28153,"Wayne County, MS",0
24029,NCNTY24029N24029,"Kent County, MD",0
48383,NCNTY48383N48383,"Reagan County, TX",0
49025,NCNTY49025N49025,"Kane County, UT",0
13233,NCNTY13233N13233,"Polk County, GA",0
48399,NCNTY48399N48399,"Runnels County, TX",0
24041,NCNTY24041N24041,"Talbot County, MD",0
13229,NCNTY13229N13229,"Pierce County, GA",0
35011,NCNTY35011N35011,"De Baca County, NM",0
6035,NCNTY06035N06035,"Lassen County, CA",0
32013,NCNTY32013N32013,"Humboldt County, NV",0
54017,NCNTY54017N54017,"Doddridge County, WV",0
1105,NCNTY01105N01105,"Perry County, AL",0
8065,NCNTY08065N08065,"Lake County, CO",0
1043,NCNTY01043N01043,"Cullman County, AL",0
48415,NCNTY48415N48415,"Scurry County, TX",0
32001,NCNTY32001N32001,"Churchill County, NV",0
32007,NCNTY32007N32007,"Elko County, NV",0
48477,NCNTY48477N48477,"Washington County, TX",0
20175,NCNTY20175N20175,"Seward County, KS",0
48267,NCNTY48267N48267,"Kimble County, TX",0
16031,NCNTY16031N16031,"Cassia County, ID",0
37107,NCNTY37107N37107,"Lenoir County, NC",0
21199,NCNTY21199N21199,"Pulaski County, KY",0
40097,NCNTY40097N40097,"Mayes County, OK",0
51131,NCNTY51131N51131,"Northampton County, VA",0
41063,NCNTY41063N41063,"Wallowa County, OR",0
48217,NCNTY48217N48217,"Hill County, TX",0
21205,NCNTY21205N21205,"Rowan County, KY",0
